branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
1134955475236187,1136604.163,62.00%,126786899,0.00%,63.04%,497128058,0.498,75.00%,1501099905894736,39.995,75.00%,3753174033488120,3758626.063,75.00%,10133103185307452,10147.823,50.00%,17769503831,0.00,62.50%,52887266436,52.964,75.00%,59479,0.060,998417.924749,999.868,2386,0.002,0,0.000,0,0.000,179454,0.180,179467,0.180,998549.462121,48.112,20.754886181
1048193431865021,1365275.816,53.71%,126883644,0.00%,71.36%,439372150,0.572,75.00%,2627335772156936,82.343,74.99%,3190727750128950,4155934.677,74.98%,9846674994556464,12825.331,50.03%,17180401306,0.00,62.51%,45984780806,59.895,74.99%,55226,0.072,767623.391835,999.832,2336,0.003,0,0.000,0,0.000,183652,0.239,183665,0.239,767752.141947,48.144,15.947118727
4975673231832528,5369998.748,59.40%,112829506,0.00%,65.64%,480722999,0.519,75.01%,5253304708122414,60.862,75.01%,8631567955402302,9315625.636,75.00%,25897031828606012,27949.389,50.00%,15770067113,0.00,62.50%,49678310908,53.615,74.99%,44606,0.048,926554.965393,999.985,1867,0.002,0,0.000,0,0.000,169143,0.183,169146,0.183,926568.788044,48.127,19.252509141
3024972271134282,2863742.801,65.14%,147108017,0.00%,59.91%,553420426,0.524,74.99%,563016972075581,13.637,74.99%,4128609730972873,3908556.950,74.99%,10409691405191074,9854.860,50.02%,17931157795,0.00,62.51%,57159449654,54.113,74.99%,61140,0.058,1056129.174143,999.838,2242,0.002,0,0.000,0,0.000,178198,0.169,178208,0.169,1056300.262144,48.106,21.957614023
999803296209445,1532498.889,56.31%,135259464,0.00%,74.98%,401631845,0.616,74.99%,1688808000699877,37.509,75.00%,4502417866952452,6901307.893,68.77%,10974090523793290,16821.090,50.02%,17948820505,0.00,62.50%,42958942118,65.847,74.99%,56668,0.087,652219.904524,999.723,2014,0.003,0,0.000,0,0.000,187030,0.287,187041,0.287,652400.666164,48.169,13.543891132
2377386012899407,2782316.208,65.12%,135943097,0.00%,59.91%,460615628,0.539,75.02%,1500768988020251,30.763,75.02%,4878494463883718,5709427.978,75.01%,9571787752580974,11202.110,49.99%,17440669624,0.00,62.49%,48168046326,56.372,74.99%,57737,0.068,854304.475897,999.815,2236,0.003,0,0.000,0,0.000,181726,0.213,181739,0.213,854462.913418,48.135,17.751227602
1975509718097587,3028679.787,64.12%,136143398,0.00%,59.40%,412489649,0.632,74.98%,563010178310287,13.636,74.99%,4128817383240731,6329943.933,74.99%,9547515772519352,14637.421,51.59%,18130445875,0.00,62.51%,43237396947,66.288,74.99%,57211,0.088,652178.398507,999.863,2363,0.004,0,0.000,0,0.000,185138,0.284,185145,0.284,652267.607290,48.166,13.542029410
1373419677729619,1217054.594,61.48%,138007236,0.00%,58.60%,561441297,0.498,74.99%,938247673121487,22.729,75.00%,4127982571533248,3658007.988,75.01%,9730557983653704,8622.725,54.96%,17841575437,0.00,62.50%,57665496199,51.100,74.98%,60456,0.054,1128252.255784,999.800,2475,0.002,0,0.000,0,0.000,181478,0.161,181489,0.161,1128478.282595,48.102,23.460161129
2321907301686923,2325211.188,66.67%,147131232,0.00%,58.11%,515082040,0.516,75.00%,37317802,0.000,75.01%,6004372766948030,6012916.503,75.01%,8681473285341166,8693.826,50.26%,17385581297,0.00,62.50%,54011149229,54.088,75.00%,58544,0.059,998471.880505,999.893,2300,0.002,0,0.000,0,0.000,186335,0.187,186349,0.187,998579.102829,48.112,20.755307671
1616018850325368,2855770.572,60.96%,111669904,0.00%,64.07%,382178230,0.675,75.01%,1500617997640096,47.050,75.03%,3189411729722343,5636214.057,75.02%,9286965538610804,16411.593,50.01%,16850226183,0.00,62.47%,39600448986,69.980,74.96%,53728,0.095,565891.948687,1000.024,2243,0.004,0,0.000,0,0.000,185124,0.327,185129,0.327,565878.388853,48.198,11.740694650
7367717309696786,7376892.941,63.04%,141097791,0.00%,62.00%,552777443,0.553,75.01%,1313315536709446,8.973,75.01%,14636329433946052,14654557.273,75.00%,33214547832625984,33255.913,50.00%,19328922547,0.00,62.50%,57409834311,57.481,74.99%,67588,0.068,998594.717744,999.838,2129,0.002,0,0.000,0,0.000,181649,0.182,181659,0.182,998756.165799,48.120,20.755629253
2734987469595790,3255965.587,61.75%,126970528,0.00%,59.67%,458704632,0.546,75.00%,2439366448847398,108.314,75.00%,2252127791356830,2681127.672,74.99%,8654943990929626,10303.594,53.66%,17229279305,0.00,62.51%,47205508402,56.198,75.00%,59296,0.071,839858.697820,999.840,2357,0.003,0,0.000,0,0.000,187821,0.224,187836,0.224,839992.744459,48.138,17.449778505
2794251788613025,2758272.977,60.44%,132962883,0.00%,59.64%,500599304,0.494,74.99%,938092321613123,29.412,75.01%,3189515801217076,3148447.566,75.01%,9219407281694732,9100.698,54.96%,17004377926,0.00,62.49%,51846385360,51.179,74.98%,56862,0.056,1012846.969880,999.806,2318,0.002,0,0.000,0,0.000,180562,0.178,180573,0.178,1013043.963501,48.110,21.056739723
717069709999030,635424.289,58.88%,140867231,0.00%,61.46%,555093795,0.492,74.99%,2814818569754058,83.340,75.00%,3377520126706222,2992956.325,75.00%,15694127559735822,13907.197,54.70%,17988824886,0.00,62.50%,57997242477,51.394,74.98%,62829,0.056,1128262.495327,999.799,2224,0.002,0,0.000,0,0.000,181870,0.161,181881,0.161,1128489.613674,48.103,23.460013231
1373560746424902,1530025.240,61.48%,115354174,0.00%,58.61%,424954892,0.473,74.75%,1876047683149170,90.897,75.02%,2063916997819117,2299021.073,75.01%,11726695329094574,13062.502,55.21%,14833363323,0.00,62.49%,45117027621,50.256,74.98%,38551,0.043,897490.533488,999.725,1924,0.002,0,0.000,0,0.000,159121,0.177,159125,0.177,897737.311884,48.127,18.653389927
6002490127620282,7270235.552,60.96%,127669902,0.00%,64.06%,474260861,0.574,74.99%,6754016147752150,50.705,75.02%,13320206529043980,16133477.442,75.02%,30672898583089340,37151.114,50.01%,18761655714,0.00,62.49%,49181105172,59.568,74.97%,66211,0.080,825563.130471,999.925,2284,0.003,0,0.000,0,0.000,185857,0.225,185870,0.225,825625.261307,48.143,17.149597024
1549974269924938,1391281.459,63.56%,129872068,0.00%,61.47%,533981706,0.479,75.00%,2814372204332061,78.946,75.01%,3564923182079823,3199931.522,75.01%,8725704562756358,7832.331,50.00%,17587978077,0.00,62.50%,55502564388,49.820,74.99%,58610,0.053,1113935.206741,999.886,2397,0.002,0,0.000,0,0.000,182948,0.164,182954,0.164,1114062.334491,48.102,23.160199840
2701156453782311,3452924.983,62.52%,123904326,0.00%,62.52%,442271186,0.565,75.01%,938079978537690,27.774,75.01%,3377544134102736,4317560.542,75.00%,10417101970715646,13316.323,49.99%,17251698959,0.00,62.48%,45591502674,58.280,74.99%,60009,0.077,782073.848979,999.736,2280,0.003,0,0.000,0,0.000,177238,0.227,177247,0.227,782280.665453,48.145,16.248561633
4559006227819972,5521909.660,61.74%,121334278,0.00%,63.29%,461862219,0.559,74.99%,3940136612660570,47.724,75.01%,8256080340006282,9999839.329,75.00%,28135892390840188,34078.448,50.02%,18231824365,0.00,62.49%,48723946538,59.015,74.98%,63163,0.077,825635.367382,1000.017,2398,0.003,0,0.000,0,0.000,180625,0.219,180633,0.219,825621.299300,48.142,17.149594587
