m-network-i(kb),m-network-o(kb),m-peak-memory(kb),s1-network-i(kb),s1-network-o(kb),s1-peak-memory(kb),s2-network-i(kb),s2-network-o(kb),s2-peak-memory(kb)
95066,39826,3703388,20416,49938,3352840,19674,45204,724606
95318,39722,3719272,19778,45318,3350516,19992,50060,724804
96662,56214,3655620,20278,50022,3349072,19656,45420,724912
95582,56508,3696880,21122,46086,3353728,20544,49748,724851
229624,123643072,3587352,21062,49728,3351052,57005818,108706,727625
114206,59770,3496048,19972,45762,3385956,20306,49964,724554
368096,111664,3634684,33376,53204,3351068,32634,48858,723650
95066,39702,3615348,214972,96504,3345420,215318,101510,723608
101878,56306,3687172,20282,50222,3360040,36024,46406,724678
100930,56096,3718300,20058,45450,3357960,36542,50062,724556
157502,56234948,3352956,20446,50042,3360676,37046,51936,726909
95092,39956,3694876,20518,46130,3362804,20264,49618,725422
94936,39630,3332072,20120,49730,3378260,19906,45566,724396
380978,115062,3602116,19900,45712,3344664,19994,49618,724268
95068,39698,3500020,228368,103850,3347820,227790,101906,726782
95054,39726,3573148,19994,46254,3359248,20044,48860,727815
95596,55900,3541716,20290,49142,3355480,19724,46274,725524
94936,39434,3703436,19626,46254,3357060,20300,49162,725963
94922,39702,3639820,20206,48794,3365092,19760,46452,724237
96028,39934,3552112,19920,46254,3351656,20278,49774,725386
154840,57618,3541116,22726,56050,3354040,19980,46538,724887
108874,43686,3550408,215154,98232,3384704,215286,101380,724696
96268,39784,3519168,33422,53516,3350728,32894,50012,724521
96004,40076,3597404,20146,46698,3351408,20278,49930,724890
95200,40202,3551648,20448,49730,3345124,19838,45470,723248
100942,56100,3674580,19808,45498,3359596,20154,49618,726224
101342,56416,3569308,20280,49730,3357324,37128,51668,724744
96136,39584,3626748,19846,46362,3346764,19990,49618,724984
95068,39554,3505692,20148,49910,3352640,19670,45338,724389
108190,43432,3547708,19806,45450,3362180,20140,49834,725943
94932,39618,3555740,33182,52938,3353436,32572,48678,725215
96188,39770,3515792,19926,45558,3357480,20020,49798,725003
96268,39952,3493748,20282,49994,3346400,19622,46274,723688
91580,39114,3561484,19754,46434,3350984,19540,45386,725757
91460,39434,3485096,19940,45498,3346884,19890,46454,725456
91458,39110,3299244,20244,46780,3355952,19514,45386,725129
94960,41574,3617248,23280,49526,3340352,19722,46454,723662
92834,39894,3691272,20186,46566,3354004,19576,45206,724458
106230,4122576,3703096,19672,45450,3354080,36156,52460,724892
96004,39988,3521708,19982,46362,3352584,20258,49618,724259
91460,39238,3544408,21084,45858,3351508,19726,46274,725417
91856,39466,3686228,19924,46518,3356020,19710,45650,725448
99066,56006,3733324,20046,46518,3357008,37372,52868,726199
91458,38978,3694568,20124,46518,3346700,19514,45384,723372
91844,39734,3653644,19670,45318,3346364,19884,46586,724469
92792,39720,3558868,19860,46386,3344268,19992,46274,723974
93054,55522,3728300,19890,46960,3352384,19758,46454,725328
92648,39448,3568508,19526,46254,3340232,19790,46454,723580
91460,39078,3525732,19882,46646,3387780,19540,45206,725576
97866,55504,3605824,19304,45366,3353816,36052,46586,725842
92780,39456,3660808,19884,46254,3349268,19752,46454,725250
92528,39628,3714844,20240,46782,3347260,19592,46274,725900
288744,91030,3584580,19678,45316,3349188,19628,46454,725042
95542,43688,3533052,297132,122962,3344532,292930,118880,723916
91460,39294,3676328,20018,46566,3345452,19540,45206,724388
91856,39210,3524936,19672,45450,3359780,19742,46490,725496
96136,39908,3683588,21208,46974,3340720,19662,45290,724105
96002,40284,3578548,20316,50088,3369316,20040,46374,728211
223394,127480958,3365924,19988,46386,3354720,67144094,120116,728938
287536,107246,3688564,32712,49102,3350744,19792,46274,725196
91460,39354,3634024,292958,118860,3357764,292550,117392,725385
91458,39034,3699132,19542,45316,3361020,19624,46274,725901
91592,39302,3486024,19890,46698,3351856,23626,49644,724740
91328,39014,3584056,19508,45366,3339796,19590,46274,726827
91722,39826,3339324,20152,46696,3339428,19806,45206,723530
91844,39354,3303640,19648,45318,3355324,19862,46586,725136
91448,39470,3636556,20238,46586,3358248,19520,45386,724986
91588,39490,3541404,265476,109262,3362416,57910,56610,723782
96124,39540,3604676,19728,46254,3352644,19860,49618,726804
91712,39098,3664040,19694,45186,3356992,20028,46358,726040
76842,35814,3584972,15724,24354,3145832,20510,50098,725144
95582,49048,3682424,20304,49968,3365340,19706,45206,725992
94804,39578,3562092,20870,45774,3352152,20160,49618,724596
96122,40282,3645140,20260,49728,3361512,19518,45386,725255
107806,42824,3666916,19676,45318,3349608,20142,49702,725200
276012,189289664,3701752,33484,53400,3362676,189330704,318436,676165
96256,40320,3555508,20028,46386,3361068,20292,49930,726144
95870,39684,3653636,20268,49814,3358624,19872,46356,725503
96124,39960,3680608,20010,46386,3360220,20274,49618,726228
94982,43016,3672080,20092,45614,3349768,19746,46586,725564
91748,39592,3593940,19926,46254,3348184,19712,45206,725337
91460,39214,3516000,19542,45186,3358564,20008,46382,726512
91844,39234,3582748,20108,46650,3355688,19630,45386,725744
91592,39242,3727964,19568,45270,3354128,19662,46454,725876
365150,128706,3324552,20442,46650,3354260,19832,45206,724944
125994,24421674,3679536,214758,98100,3356228,231308,104142,730460
222102,127749656,3630496,19808,45450,3353932,62206688,115188,728620
91580,38866,3519756,19762,46434,3350044,19548,45206,726144
92660,55378,3690916,20978,45990,3360076,19752,46406,726224
91722,39410,3724460,19920,46744,3365756,19574,45338,725534
91724,39302,3682036,19808,45630,3365164,21078,47174,725354
92144,39536,3666128,19988,46830,3384636,19762,45290,724137
91724,39490,3565296,214974,97524,3358544,214792,98516,725239
91988,39414,3640720,19748,46254,3356468,19534,45698,724904
91592,39426,3475472,20176,46002,3352976,19886,46274,725284
91832,39802,3440956,19670,45186,3354440,20016,46454,724950
96398,39874,3571060,20256,46914,3364028,20016,49616,725504
94936,55764,3324764,20250,49730,3350520,19772,45386,723361
177666,64560,3782544,24114,51406,3366608,20112,49750,725938
95596,40094,3588244,228232,104990,3358896,227816,100526,725869
95068,39834,3462460,20638,46118,3359912,20288,49750,726227
94934,39510,3713944,20190,49794,3367064,19516,45204,726100
96556,40498,3309940,20444,46846,3363544,19984,49930,726002
96124,39992,3293956,20284,49598,3362260,19888,46406,725232
96004,39784,3713412,19892,46386,3351932,20156,49618,725766
97324,40340,3627024,20422,50090,3354308,19786,46274,725836
110734,43180,3690272,96892,65518,3354608,20146,52282,725070
94936,39762,3461328,33106,52136,3355836,32924,49748,725679
96376,39776,3716092,20118,46678,3360740,20002,49766,725928
95332,56412,3348212,20286,49778,3352824,19676,45338,725883
96004,39580,3323948,19856,46566,3354392,19988,49798,725762
102158,56270,3706488,20058,49598,3352424,20850,46862,725317
96290,40174,3523816,19912,46696,3361256,20176,49618,725956
96512,40514,3312848,20508,49936,3361552,19728,46586,725114
108190,43508,3505456,19802,45318,3370128,20412,49618,728513
95092,39588,3675272,33320,53400,3355620,32514,48548,725614
95066,40206,3714120,19840,45318,3362416,20186,49796,726408
95056,39842,3494152,20152,49730,3350272,20330,45338,726633
91724,39674,3459992,19854,46650,3352172,19640,45386,725706
91976,39326,3688756,19382,45318,3384704,19728,46406,726298
91592,38838,3638016,19976,46782,3349900,19510,45386,725868
93020,40010,3589120,19512,45366,3351296,19990,46454,726464
92660,39184,3562104,19976,46866,3349000,19724,46274,725612
229146,134998734,3800172,20020,46518,3357656,86451122,137928,729561
91712,39506,3653932,19884,46434,3351676,19538,45386,726601
92114,39290,3339184,20990,46084,3353948,19752,46274,725686
92528,39440,3531768,20182,46518,3379972,19786,46454,725692
91724,39490,3600172,20606,47014,3362400,20892,45794,725902
91976,39578,3561428,32516,48792,3350160,19728,46454,729295
95872,40012,3553972,19784,46254,3351516,19966,48550,726148
96122,39912,3559452,20538,49860,3357700,19878,46586,726762
101074,56678,3685576,20120,46554,3358112,36558,55804,726705
143990,43322230,3727792,19776,48710,3356820,36408,52944,728444
91722,39026,3532432,19884,46648,3380736,19538,45518,727639
95526,43320,3699848,24270,50256,3359556,19846,46454,726444
91460,39486,3582116,19916,46434,3356064,19784,46274,726333
91592,38898,3698716,19874,46338,3360496,19754,46454,726334
292628,107594,3735160,20152,46518,3353476,19888,46586,726294
92528,39364,3570068,292766,118860,3358364,292766,118748,726076
92766,39840,3726684,19706,45184,3346056,19920,46586,727074
92660,55766,3672448,20172,46798,3362388,19988,46586,726666
91856,39670,3639312,21286,46234,3363464,19852,46538,726132
97878,56220,3587048,19654,46434,3353780,35842,45338,726092
92790,39960,3625540,20154,46546,3349728,21078,47040,726158
102028,56174,3704892,19722,46254,3351692,36708,55796,726988
96266,40552,3592244,163554,87876,3354952,20052,46468,729243
108070,58902,3777308,19802,45450,3359216,19884,49618,726787
95320,40158,3338404,33122,53204,3351540,32644,48680,725718
95068,39734,3341716,19802,45498,3351280,20016,49750,724062
101204,56172,3338664,20388,49992,3368800,35784,45470,728622
95452,39774,3537524,19912,45714,3366576,19994,49882,728890
113352,9649272,3691648,20150,49880,3364708,36090,51540,731274
94936,39370,3592524,19698,45582,3384488,20056,49618,724734
96544,40432,3483036,20288,49862,3368396,19772,45494,726544
108058,43052,3588932,19892,45402,3358548,19986,49798,725350
94936,39774,3552440,33376,53104,3350940,32782,48548,725051
95200,39954,3703960,19780,45318,3364660,20126,49750,726572
100810,55844,3667792,20290,49730,3362432,19612,45582,726112
95824,40562,3559672,20054,45450,3354172,20532,49882,725602
94936,40062,3704432,20816,49914,3365580,20758,45974,729434
95452,40226,3513996,20448,46086,3354580,20406,49798,725728
100940,56096,3353652,20152,49728,3355024,36208,51392,726247
385082,119720,3534888,24900,52236,3363828,20186,49796,725012
96004,39884,3499380,228214,104834,3354336,227950,101906,726446
96394,39778,3327960,20868,45270,3346240,21358,50062,724417
95054,40006,3481784,20320,49908,3362088,19842,45386,726125
95172,39750,3648044,19406,45366,3356568,19752,49486,726786
102262,56354,3628048,20504,49970,3348984,19724,46454,724473
143198,40351058,3768216,20024,46698,3365764,36574,55904,726136
96676,40880,3690224,20104,48974,3364572,21174,46878,725704
108070,43304,3331120,215184,97968,3366344,174974,89710,725384
98212,43298,3690980,36194,56368,3361644,32914,50100,726142
95186,39942,3711864,19724,46516,3354076,20038,48550,723822
95068,39694,3677208,20454,49038,3352416,19888,46274,725910
94936,39694,3730680,19732,46434,3348552,19650,48730,728546
94936,39946,3302056,20238,48662,3347768,21112,46862,724460
95066,39774,3736208,20126,46696,3366480,19648,48550,725948
94804,39422,3751356,19910,48974,3356752,19596,46274,726231
108188,43172,3556476,19890,46386,3350132,19676,48728,725894
94922,39870,3617316,33454,52136,3361616,33008,49746,725565
95066,39702,3493936,20024,46698,3350956,19678,48548,724926
165624,62141892,3720024,20302,48794,3365488,36670,52990,727654
96266,39956,3661612,19888,46386,3349820,20020,49880,725298
148366,45540610,3359060,20292,49728,3359280,36710,52690,730277
94802,39758,3541256,21026,45906,3358468,20436,49880,726333
97056,40552,3566776,20024,49596,3341132,20088,46468,725141
108990,42952,3491168,19884,46648,3369316,20026,49616,726607
290898,91234,3604892,33026,53250,3347524,32894,49926,725162
94932,40192,3311424,112304,72678,3363232,293138,121238,727836
94800,39712,3587088,20342,48528,3355184,23980,50530,724984
95314,39128,3592268,19858,46958,3346948,19906,48548,724462
94800,39480,3619896,19674,48528,3366408,20946,46860,725977
95220,39546,3543724,19994,46516,3357764,19778,48548,725760
101058,55742,3652440,19916,48924,3354920,19736,46452,726768
303348,94452,3635392,19764,46648,3349716,19812,48860,729043
94800,39488,3529856,306010,124560,3352560,305830,121644,726108
97062,39404,3601392,20920,46468,3365068,21196,50060,725521
96000,39976,3529224,20318,49728,3346876,19922,46452,724835
96172,41440,3680252,19648,45316,3357620,19996,49796,725275
95052,39912,3565324,20286,49776,3403868,19530,45304,726898
95064,39512,3617496,19516,45448,3354724,20248,49700,725686
315640,16814336,3702864,20686,50200,3350320,36096,51490,726793
108198,58980,3571320,292684,117922,3365252,293284,121862,725318
95326,56090,3325388,33284,53070,3358624,32540,48856,726036
102514,57250,3671972,19984,46536,3354412,36662,49748,725399
95064,39768,3542616,20304,48972,3352892,19980,46356,724916
96240,40024,3518612,20294,46384,3361856,20294,49796,726399
95868,39692,3292820,20416,50040,3357160,20944,46860,725705
96132,40120,3317188,20126,46432,3343876,24764,54422,724618
95194,40012,3731024,20552,50038,3362544,19880,46560,725335
108450,43326,3579032,19776,45316,3356912,19992,49880,726466
136858,35408368,3591144,32898,53070,3352420,49232,55216,728182
94800,39380,3548252,19780,45496,3355168,20116,49716,725141
94932,39296,3643996,20152,49908,3357628,19408,45204,725520
95314,40148,3514144,19834,45710,3361136,20578,49748,725344
95328,55906,3640296,20508,50388,3352752,35914,45468,725124
94668,39760,3670100,19958,45580,3333436,20318,49796,724731
178126,69952182,3356760,20642,49728,3348072,38637076,94126,726592
109132,43402,3585904,19766,46562,3355248,20150,49700,725672
95390,55790,3705144,33026,53250,3357696,32910,49986,729251
101600,56458,3661480,20510,49726,3355576,36196,51742,729306
96130,39720,3660192,20916,47104,3363720,20256,49746,725460
96120,39816,3747328,21382,50116,3366248,19866,46584,726396
96264,40628,3328220,20158,46384,3353864,20542,49700,726123
96000,39948,3583004,32994,52938,3352436,32862,49746,725880
128266,21404986,3749740,19728,46564,3360340,36674,56082,726681
95196,55842,3715148,20158,48852,3360832,19738,46272,725634
95214,43402,3686200,20468,47322,3352900,19580,45648,724936
99716,56274,3686896,20456,45628,3352336,37470,52278,726662
92788,39508,3597780,19994,46648,3352456,19718,46380,725519
101234,50940,3620364,27786,45844,3354392,19764,46452,725649
92776,40004,3337488,20158,46564,3361040,20026,46272,725691
92920,39444,3620532,21216,47236,3354340,19416,45336,726084
364498,111526,3497668,19838,45316,3330028,19790,46452,725296
93050,39732,3464784,214896,98096,3371048,214680,96654,729105
92788,48238,3669948,19756,46432,3360108,19756,46716,725118
91696,39292,3484060,21252,47084,3352180,19868,46404,726259
92508,39816,3535744,19596,46776,3346904,19644,45204,729802
91574,39520,3487448,19940,45628,3365016,19760,46450,726719
91586,39380,3501080,19864,46610,3340896,19648,45204,724917
369198,112592,3540976,33180,52002,3350480,32988,49722,726237
96000,40188,3316392,215058,98014,3348728,215442,101166,725242
102286,56194,3689672,20020,49596,3355028,36026,46404,726620
96120,39740,3654152,19762,46384,3350328,20158,49796,727417
102286,56218,3582976,20032,49908,3363408,36038,46404,726000
95998,39596,3549260,19864,46646,3367512,20260,49928,725237
97068,40000,3649488,23000,55030,3366988,19762,46272,725932
223974,73832,3536544,19810,45628,3359192,20026,49616,725898
95196,39712,3700832,228614,106572,3361096,227450,100836,726042
96372,40180,3314644,19514,45316,3362624,20126,49748,726720
95064,39508,3307972,21642,50068,3360928,19634,45552,725779
100806,55786,3749136,19650,45316,3354072,20130,49976,726594
94932,39760,3330168,20186,49860,3348280,20958,45544,726355
94932,39632,3492988,19576,45184,3351488,20056,49616,726812
95064,39892,3478292,20186,49908,3353444,19706,45384,725055
113478,47952,3562264,19674,45314,3367372,21462,50552,725803
102290,56782,3337456,33424,53206,3360600,49578,50430,726137
101074,56366,3324556,19676,45500,3356208,20288,50060,728796
95068,39560,3680680,19996,50044,3350140,19516,45204,724866
94936,40068,3653596,19812,45188,3356152,20160,49796,729026
101076,56206,3714164,20290,49730,3355896,35948,51078,726906
94924,39948,3303576,19830,45368,3353180,20574,49616,726399
95464,40152,3658824,22872,51060,3352912,20076,45204,726058
107804,42646,3743384,19676,45318,3359360,20156,49616,726522
94936,39884,3572292,33292,53254,3353312,32680,48858,726510
96124,40404,3656540,19764,45656,3357800,20124,49616,726776
95476,39870,3516588,20606,50152,3363948,21020,45544,727100
96266,39892,3587304,20030,46588,3388440,20186,49926,726197
95452,39700,3474832,20048,49864,3353420,19916,46272,726792
94804,39508,3456248,21314,46976,3348504,19778,48728,727158
95200,40400,3522168,20452,48820,3344048,19888,46536,725238
109266,43246,3441432,20150,46386,3355060,21074,50646,725643
95200,39620,3512832,33028,53206,3342508,32680,48810,725555
94804,39232,3593028,19508,45188,3393744,19988,49616,726259
95200,39704,3721036,20158,49732,3356300,19678,45384,726550
96268,40052,3693848,19894,46520,3353176,20026,49616,726644
207842,107552950,3595608,20026,49600,3362204,33781396,89386,728362
95068,39448,3712396,19946,45764,3351976,20030,49616,726286
96004,39928,3515512,20426,49732,3381400,19682,45336,729404
302422,94244,3562076,19756,46388,3359476,19696,47870,726068
91592,39368,3586340,19708,45500,3346104,19924,46272,725465
94452,40366,3305164,19862,46388,3358208,19778,45204,726248
97126,44026,3742952,24326,50778,3361904,19848,46452,729019
92792,39460,3477160,19928,46388,3350044,19796,46764,726990
91590,39244,3316268,19928,46568,3352072,19580,45202,726162
96136,40148,3693408,33340,52582,3347484,32764,50010,726252
292352,91910,3674656,20122,46386,3344300,19606,49928,724831
100940,55886,3766968,20156,49730,3359424,19544,45468,726260
96134,39648,3633184,19890,46436,3353128,19890,49746,725872
94924,39572,3487884,20290,49732,3379748,19630,46272,727284
94804,39556,3574352,19898,45404,3353312,20114,49880,726190
98718,44032,3631104,25108,54022,3358596,19694,45204,730551
109138,43054,3472644,19640,45452,3353160,21176,50204,726446
289966,91618,3593684,33308,52450,3351280,32864,49878,731042
94804,39640,3536024,71854,60052,3360316,253666,110140,726427
100942,56418,3326540,20074,48664,3355896,36296,46668,726595
95068,39700,3514084,20156,46700,3354912,19940,48548,726969
95200,39776,3602436,20044,48664,3351968,19984,46536,726034
94934,39676,3565244,19790,46388,3346532,19838,48546,725607
96124,39748,3524808,19814,48664,3363680,19898,46272,726237
304432,94788,3478132,20238,46892,3333064,19866,49880,729139
94922,39400,3660620,306206,125368,3366944,305594,120574,726704
95188,39788,3487240,19546,45188,3392352,20026,49928,730271
92528,39516,3538908,20154,49600,3359280,20022,46452,726676
92658,39516,3307508,20022,46520,3362960,19890,46270,725947
92096,39968,3284400,20062,45320,3350764,19882,46272,724948
151662,50484706,3758988,20782,46844,3350016,20562344,75106,729563
287678,91110,3527676,20184,46520,3351456,19788,46272,725557
104750,42920,3527116,292830,118814,3353724,292746,117234,725726
101582,62488,3320256,24010,49864,3395184,20144,46272,726361
92106,39392,3678068,20158,46518,3386676,19546,45204,726631
91724,39480,3514988,19806,45632,3353756,19890,46272,726474
92658,39740,3463440,20134,46388,3349212,19870,46270,727146
139338,38729110,3753864,19998,46700,3355416,36548,52858,728154
287558,91526,3506540,19990,46388,3342312,19858,46272,725072
91724,40080,3319796,292902,118418,3395492,293070,117210,726840
91460,38896,3701968,20114,46628,3359180,19730,46584,727049
94126,39576,3305224,20016,49054,3350780,19776,45204,725283
96136,39756,3677696,20448,49864,3355728,19788,46536,729190
96136,40272,3305708,20022,46520,3357068,20286,49748,726144
96268,39884,3538712,20050,50224,3343956,19786,46272,724190
185900,65042,3573704,20028,46520,3353924,20412,49700,729232
95490,39662,3570272,306588,126424,3369916,305592,121104,726821
96510,40320,3654272,19866,46568,3354696,20130,49928,728556
95068,39956,3597788,20260,49730,3351164,20836,45792,725464
95874,40112,3310944,20056,46436,3355016,20188,49796,725520
100316,47938,3709220,24502,54312,3368420,19988,46668,727016
102144,56118,3719644,19594,46256,3353908,19642,48548,726280
109974,4519382,3730460,19974,48976,3356336,1767672,56818,729517
91962,40040,3329104,20054,46388,3347492,35976,45334,725794
92662,39788,3640656,20026,46390,3360936,19894,46272,726626
91978,39452,3541808,19888,46570,3356328,19804,45204,726152
95202,39896,3302216,19576,45320,3356976,20056,46632,726396
283854,189284032,3704556,20106,46496,3363060,147834582,207148,729259
91846,55590,3731076,19708,45634,3363168,19792,46272,725731
91594,39044,3639700,19882,46342,3350052,20918,45940,725278
91880,39466,3311956,19804,45452,3355612,19888,46270,725138
91856,55702,3728596,20022,46570,3365484,19410,45202,726660
121242,18380582,3752964,34264,49382,3362600,36576,52738,727827
366892,112722,3508616,19920,46390,3358220,19920,46272,726209
92530,39456,3522968,215022,98104,3348300,216078,98442,726991
91848,39292,3532508,20020,46516,3354356,19408,45204,728286
91838,39260,3593616,19678,45314,3350424,19630,46584,725676
94802,39388,3291440,19736,46254,3361440,19916,48548,725491
94802,39372,3326188,20040,48662,3367856,23896,50300,727182
95870,40376,3449116,20296,46566,3365636,20212,48860,726031
367976,111866,3559040,33160,53384,3357268,32680,48810,726700
95066,56486,3338500,214940,97164,3353856,215420,101462,724745
95594,56110,3681244,20400,50306,3359008,35662,45600,726036
95198,39616,3721536,19760,46670,3389940,20288,49880,728492
94956,39854,3546456,20256,49598,3352992,19860,46270,725594
96000,40124,3534448,19996,46434,3355156,20128,49794,729384
104038,61596,3529584,22984,54948,3363292,35800,45648,726125
96124,39872,3557120,20026,46386,3363152,19894,49616,726832
96134,39760,3482100,228338,105446,3354092,228074,101724,726636
103662,57610,3738656,20060,46698,3353100,20192,49796,725848
96004,39728,3340272,20128,49730,3361868,21052,46860,726437
96362,40408,3507800,19766,46432,3356064,20294,49616,726429
95990,39916,3645308,20024,49730,3357304,19760,46450,729045
95992,39788,3627236,20014,46386,3360592,20410,49796,725347
95998,39896,3552688,20188,49910,3364464,20032,46472,725761
109132,43202,3656400,20668,46834,3338572,20248,50056,728102
94800,39176,3660120,33028,53072,3357972,32632,49920,726745
95988,39804,3616908,20190,46566,3352936,20178,49696,727227
95328,39636,3332280,21046,50434,3354928,19710,45380,726398
95040,39460,3540416,19634,45186,3352492,20246,49614,726941
94800,39444,3609828,20028,49778,3360396,19680,45200,725927
94932,39456,3689944,19686,45318,3357616,20166,49746,726288
95196,56306,3605580,20258,49730,3353908,19646,45200,726368
96064,39796,3678052,19998,46386,3361816,19998,49612,726174
95868,39592,3695400,33260,53336,3354764,32864,49744,726530
267194,85258,3438656,19754,46256,3358036,20150,49614,726094
96002,39656,3633764,19942,48712,3352296,74716,62848,725650
101876,56274,3327404,19870,46256,3352220,20398,49746,726345
94932,39624,3638088,19944,48662,3351172,19632,46268,726046
102248,56126,3501328,20222,46784,3349612,36300,48810,729546
96002,39340,3651252,20000,49732,3351204,19604,46270,726998
157852,42245420,3691920,20058,46386,3362908,36740,56032,731908
291188,91144,3687712,33160,53338,3363564,32632,49742,726811
94934,39892,3306700,293096,118814,3389720,293276,120840,730095
91974,39248,3703432,19768,45584,3349180,19852,46270,725247
92102,39824,3527456,20274,46568,3359416,19662,45202,728478
98272,55854,3713668,19892,46520,3359188,35898,46798,725544
93054,56314,3719672,19938,45320,3368672,20154,46402,727016
98128,55890,3713576,19868,46568,3366360,35790,45466,727661
159628,62292070,3743632,19912,45744,3359936,2394538,57956,729295
92524,39496,3694852,21110,47154,3359468,19922,46270,726996
92646,39460,3680884,19862,46436,3371252,19850,46550,726089
105792,43198,3318364,19994,46388,3362500,23924,50644,726631
92394,38984,3525568,19756,46748,3360300,19756,46450,725536
91458,39552,3466240,20256,46518,3356480,19644,45384,726354
92658,39656,3696308,20002,46386,3363336,21122,46612,726464
93464,39906,3645468,20156,46832,3358608,19880,46380,726408
92528,39616,3703184,19880,46364,3358604,19748,46536,727506
92660,39524,3641144,19762,46492,3355836,19894,46272,726550
91724,39492,3669620,20028,46568,3359916,19548,45204,726161
95056,39356,3554468,19624,45188,3355536,19972,46452,725293
95296,39608,3523120,19630,46256,3388764,20758,49752,727190
97310,40440,3517496,20256,50042,3356940,19728,46272,725721
95320,39568,3554096,19928,45584,3351640,20012,49796,725584
94804,39484,3681188,20156,49600,3356644,19544,45204,727753
108190,42930,3537308,19644,45680,3358688,19992,49616,727942
94936,39768,3475404,33126,53074,3354564,32910,48678,726234
94802,39356,3637876,19958,46582,3365832,19810,48548,729191
95870,39980,3562312,20122,49600,3352860,21046,46858,726010
94936,39688,3431136,20018,46388,3367388,19934,48548,726127
95188,39784,3688876,20072,48664,3359976,19892,46404,726118
94936,39576,3492076,21216,47240,3351348,19944,48728,725270
94804,39308,3690808,19942,48664,3365480,19762,46272,726716
108190,42938,3711612,19600,46388,3370560,20128,49748,729666
369406,112582,3575784,33418,53206,3365476,33022,50106,725042
94804,39428,3480224,19732,46256,3359836,111928,74626,726011
94936,39504,3648632,19908,48664,3361376,19860,46452,730202
94936,39616,3535728,19892,46652,3358420,20072,48908,726358
94924,39992,3337632,19942,48532,3364508,20026,46452,726312
95068,39520,3618724,20000,46880,3355496,20024,48928,727026
94924,39824,3575112,20230,48712,3357840,19786,46632,726143
382168,115112,3646144,19762,46520,3354340,19930,48656,726445
95066,39112,3711812,227678,103900,3354964,227762,101326,725936
95056,39548,3577332,19978,46676,3357636,19774,48548,724289
94802,39296,3556156,19804,48530,3378424,19888,46272,725258
96532,40252,3598272,20126,46964,3363552,20390,49748,726784
96520,55870,3564644,20130,49864,3356136,19602,46404,726055
96004,39920,3491920,21082,46844,3372012,24372,53874,726082
368362,112470,3647836,20682,50044,3359944,19794,45312,727014
107938,42886,3638156,214868,97034,3394168,215084,101378,726603
94804,39308,3302072,33028,53758,3363408,32680,48546,726752
94924,39764,3530372,20562,46004,3341632,20254,49616,725246
184566,90728110,3696268,19890,46520,3348304,24085144,77098,728744
95330,39616,3503092,19860,45490,3364072,20156,49880,729362
95904,42034,3708464,20414,50092,3362584,19550,45202,727238
99282,43554,3522804,24150,49842,3363448,20008,49832,726075
100664,39604,3290268,124314,80602,3365900,19670,48134,726270
107926,42858,3504256,19794,45608,3355880,20022,49616,726795
93164,39288,3627400,19974,46628,3357384,19986,46536,726095
93438,40620,3549664,20526,46842,3354496,19914,45498,724973
91590,39256,3709024,19868,46256,3366368,20000,46690,726574
91724,39032,3518912,19864,46520,3360404,19600,46584,727146
91460,39172,3624764,19808,45500,3350796,19760,46272,726141
91712,39632,3543320,21232,46844,3354128,19960,45384,729525
91980,39976,3545536,19814,45320,3354040,20030,46452,727050
92792,39516,3546224,19890,46436,3362140,20946,47040,727182
91724,39616,3651056,20024,46436,3350680,19892,46584,726268
92648,39476,3663856,19762,46256,3356140,20026,46404,726891
91592,55962,3335028,20116,46652,3365448,19996,46452,726380
92694,39944,3581336,19828,45500,3350020,20044,46582,725944
91592,39032,3512988,19888,46520,3358920,19540,45336,726760
95068,39812,3625968,33172,52582,3368724,32992,49794,728218
96124,39924,3633776,20028,46436,3350832,20028,49928,725699
95200,39708,3501672,20292,49732,3351544,24266,49918,725646
94804,39488,3580804,19414,45188,3358328,20026,49616,726936
95044,39424,3729008,20306,49816,3366516,19574,45384,726663
94804,39420,3565508,19644,45320,3357464,19992,49616,726839
95992,39520,3510384,20276,50224,3363456,19532,45204,726532
108298,43330,3648984,19678,45320,3363864,20290,49928,726542
94804,40016,3570948,33224,53270,3349684,32680,48678,729065
94936,40032,3294880,19962,45632,3351452,20322,49616,726083
96136,40168,3537724,20414,49732,3357908,21326,47100,727805
95056,39700,3554428,19892,46388,3369872,19808,48728,725994
94936,39248,3481100,19648,48532,3355636,19600,46404,725132
96004,39656,3522488,21082,46976,3376316,20026,49748,727147
95224,40194,3646508,20426,49780,3365536,19418,45384,727067
107804,43042,3323224,19808,45186,3371216,20352,49812,728091
101738,56566,3674328,20290,49996,3369568,49690,55592,730164
95056,40308,3497880,19938,45500,3366068,20550,49616,727494
95068,40416,3538368,20688,49732,3367576,19680,45384,726884
94936,39684,3491280,19842,45320,3367960,20058,49796,725976
92780,39612,3332052,19996,46700,3375160,19864,46272,726694
92528,39436,3538856,19892,46568,3368568,19760,46632,727399
91592,39104,3495808,19902,45712,3372216,19858,46272,725859
92778,39572,3482708,20210,46762,3360332,19534,45204,727125
92660,39456,3528292,19794,46568,3358260,19794,46632,725081
92912,40104,3664340,20902,45528,3365216,19734,46272,726759
91724,39240,3331708,19992,46748,3372144,20284,46024,725786
91722,39556,3703432,19580,45320,3356800,19796,46270,727303
92144,39410,3318160,19992,46388,3362020,23858,49726,725912
92780,39328,3572488,34040,50810,3366876,19850,46272,727163
286488,91018,3525208,19736,46254,3352308,20100,45484,726313
