m-network-i(kb),m-network-o(kb),m-peak-memory(kb),s1-network-i(kb),s1-network-o(kb),s1-peak-memory(kb),s2-network-i(kb),s2-network-o(kb),s2-peak-memory(kb)
103120,56654,3338944,33288,53332,3335528,49162,50054,724382
96114,40324,3328352,20054,46382,3335360,20318,49612,723774
95994,40044,3487044,20154,49726,3327500,20154,46268,722494
94794,39162,3645692,19886,46562,3330956,20992,49492,727467
104394,56868,3641972,20196,51192,3338824,36260,52538,727010
94794,39354,3546068,19850,46514,3326028,19900,48544,725997
95046,55720,3625520,20038,48838,3327680,19592,46628,721804
303090,94694,3615496,21036,47258,3330060,19910,48544,723958
92770,39604,3655844,19868,46694,3332616,137984,77858,723873
97706,55904,3712824,19752,45504,3336272,36116,46616,723935
91582,39426,3538364,19886,46430,3336876,19540,45378,724595
91572,39826,3678560,19788,45364,3334756,20002,46448,727691
97588,55588,3520340,19898,46516,3333284,35822,45642,724312
156922,61044188,3735588,19798,45664,3332464,22698278,76062,729877
286930,91672,3623092,20018,46672,3334324,19684,45332,723614
92848,39716,3517216,242030,105598,3338100,292934,118430,723529
98252,55780,3721428,19640,45710,3341316,35992,52274,724056
91584,39474,3636864,19598,46384,3336232,19982,46376,722127
95060,39430,3543116,19542,45808,3346516,20284,49612,724308
95058,39686,3342348,20280,49858,3335732,20858,46100,723921
91584,39414,3482156,19894,45292,3332804,19856,46400,721935
297310,108048,3628420,33158,53560,3330624,49032,50138,722167
101200,56176,3684696,292748,117212,3368368,309760,127960,723759
207846,111112484,3538224,20256,49728,3339940,42276036,95682,727404
247830,141901952,3644196,19772,45704,3328972,105377996,163226,725203
141574,45600444,3675512,19994,46384,3368620,5482618,61242,725377
91584,39766,3612080,19908,45468,3331944,19990,46268,722789
199314,103119936,3578980,19854,46432,3338088,49086994,99174,726144
92652,39832,3294852,20048,46384,3349384,19916,46268,723717
92784,39640,3641032,86164,64422,3346896,19886,46268,723740
91836,39466,3732084,20220,45736,3346132,19786,46400,723396
91584,39166,3714172,19888,46252,3364920,19542,45200,723096
95192,39754,3504136,19770,45578,3341700,20512,50188,724434
120468,17559422,3336292,19990,49776,3343548,36276,52554,724715
96250,40328,3304616,19972,46384,3327768,20368,49792,722443
95866,39784,3459688,20156,49596,3327760,21080,47036,722456
107932,43300,3363188,20272,46780,3345704,19938,48544,724786
95062,39862,3527368,32910,52266,3351028,32860,49790,723688
94930,39742,3565156,20020,46384,3339976,19806,48676,724315
95060,39574,3702744,20064,48876,3339492,19762,46268,724472
97502,40534,3527020,19754,46434,3329916,20068,48940,721785
101204,56044,3658988,20168,48794,3351644,36124,52454,723480
95062,39574,3679004,19894,46252,3348324,19812,48544,724636
95062,39746,3631348,21324,49002,3330980,19878,46376,723163
109264,43202,3333860,21052,47238,3340104,20178,48856,725828
96496,40280,3664224,33266,53336,3337432,32990,49958,726864
95050,40310,3313820,19640,45184,3338264,20382,49612,724330
94906,43212,3683704,20158,49598,3329204,23744,53750,722732
96524,40360,3593464,20444,46806,3336896,20180,49924,724667
100820,56076,3572396,20020,49778,3343764,35812,45332,723699
95326,55696,3723804,19672,45450,3343672,20018,49792,721951
95326,55692,3636988,20280,49994,3345628,20726,45968,726558
115274,59976,3714280,19982,46542,3347136,36528,55618,723600
369172,111882,3548864,33390,53204,3339888,32730,49742,724506
97408,40686,3532100,19758,46254,3318020,163148,87306,726322
95736,40084,3719460,20510,49994,3338032,19730,46450,723628
103446,56642,3616624,19850,46518,3339376,36252,49878,723204
102274,56786,3586256,21412,50070,3340080,36710,52424,724231
94932,39742,3657472,19888,46386,3328376,19938,48726,722762
96252,39992,3512232,20152,50222,3341572,19888,46270,724206
382296,116148,3311964,21048,46974,3335360,20256,49614,723036
95064,39506,3523864,228276,104762,3340100,227546,100832,723856
95294,39722,3611044,19886,45546,3364436,20496,49746,723071
95460,56004,3616808,20148,49994,3335896,19670,45200,723794
95186,56260,3322932,20252,49706,3334324,20050,45382,726490
95342,39680,3638408,19408,45450,3342704,20282,49616,723240
96002,39376,3557512,32732,53204,3343468,32732,49924,723961
292658,91838,3610092,20008,46414,3339792,20644,49798,724154
95066,39438,3646972,20156,49730,3352144,19546,45384,723705
95066,56012,3337740,19410,45186,3341180,20152,49614,726857
95054,39650,3688832,20022,49598,3336584,19412,45202,723093
102924,536232,3553808,19960,45294,3336768,36588,55802,723847
95306,56248,3632968,20282,49862,3334192,19540,45202,722444
94922,39574,3623532,19770,45450,3336024,20248,49748,723414
369176,112402,3687912,33386,53336,3333084,32858,49794,721960
102660,56582,3677428,214756,98016,3343344,231570,107746,723639
96002,40056,3672716,20424,49730,3341412,19896,46272,723938
97318,40304,3591928,19858,46516,3339804,20506,49984,724128
94934,39554,3642716,20042,48974,3370896,19728,46270,723251
124920,21808038,3349596,19788,46566,3348300,36866,56334,725786
96386,40308,3646092,20442,49730,3342932,19914,46272,728004
173576,60450,3692144,19930,45714,3341228,20156,49928,724798
96002,39976,3608232,228218,104882,3336908,227822,101904,723774
102780,56918,3688676,20040,46254,3367124,36706,55622,724565
109682,7164948,3530952,20282,49730,3325404,35810,51438,723090
95198,40022,3510600,19826,45942,3344684,20184,49616,723534
244380,145032130,3645440,20386,49862,3337836,56181630,110482,727074
95330,40046,3681724,19916,45846,3335108,20262,50108,723556
96002,39504,3524984,20148,49862,3325452,19538,45204,721743
107804,42836,3618704,19764,46254,3348252,20066,48632,724158
96134,39844,3499536,33122,53072,3341364,32990,49878,723438
95054,39954,3671364,19924,45498,3339604,20534,49616,723603
94934,39570,3489160,20276,50126,3342512,19810,45384,723486
95054,39522,3535304,19678,45318,3340340,20024,49616,723870
96000,39580,3643212,19856,49778,3343184,19724,46270,723351
95870,39820,3621796,19886,46518,3375904,20282,49796,724714
95186,56128,3526180,58816,58820,3341912,19760,46272,724678
111068,43248,3527328,21104,47106,3342084,19726,51214,724150
