branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
9573444596,357.710,75.39%,341256596,3.56%,75.36%,653135981,24.404,75.36%,3336987964947857,603.708,75.92%,552748706449908,20653352.025,50.92%,3303413885200485,123431.442,51.13%,48892162888,0.00,63.89%,67796658523,2533.209,75.85%,64656,0.002,26745.820998,999.353,6094,0.228,0,0.000,40,0.001,477744,0.018,477855,0.018,26763.147492,1.392,19.221337435
9385924939,381.704,74.89%,334788411,3.57%,75.10%,597812176,24.312,75.58%,2952592056241261,545.761,76.27%,541004252737023,22001378.671,52.03%,2987186743503880,121481.904,51.83%,48551186038,0.00,63.76%,62372196405,2536.531,75.15%,62809,0.003,24573.066787,999.329,5347,0.217,0,0.000,40,0.002,461914,0.019,461991,0.019,24589.561447,1.805,13.624753698
10224391308,339.039,75.24%,360648212,3.53%,75.63%,738651766,24.494,76.21%,2207271300241309,395.388,76.51%,558254161998360,18511616.047,50.42%,5060488822772670,167804.976,50.06%,52575170326,0.00,62.61%,76438845812,2534.700,74.72%,67886,0.002,30138.977268,999.404,6399,0.212,0,0.000,41,0.001,447768,0.015,447907,0.015,30156.965258,1.452,20.763320499
9328938072,406.769,75.16%,338171974,3.62%,74.67%,558672822,24.360,75.32%,1289809686166820,244996058.831,76.38%,526461402,22.955,51.56%,5950589990887574,259463.342,52.03%,47439541139,0.00,64.54%,58139556342,2535.057,75.97%,62370,0.003,22918.254881,999.304,5157,0.225,0,0.000,40,0.002,452658,0.020,452740,0.020,22934.222369,2.010,11.411900730
9378141637,357.548,75.37%,335964105,3.58%,75.23%,641646463,24.463,75.22%,3170822719938964,590199540.299,75.45%,537245881,20.483,51.31%,3818734839643706,145591.952,51.60%,47669609569,0.00,64.72%,66407792602,2531.844,76.09%,64013,0.002,26212.319730,999.363,5959,0.227,0,0.000,39,0.001,502957,0.019,503056,0.019,26229.024238,2.078,12.623191821
9699016720,362.093,74.43%,336854260,3.47%,74.51%,650990598,24.303,75.56%,3708242574001626,459.541,75.91%,806945630884390,30125671.602,52.32%,2434553230047309,90889.086,52.03%,49310813734,0.00,64.03%,67966951829,2537.408,75.37%,65173,0.002,26769.196984,999.373,6190,0.231,0,0.000,40,0.001,519881,0.019,519974,0.019,26785.979796,1.510,17.744382068
9802607732,352.138,76.57%,352902890,3.60%,76.00%,678449784,24.372,75.42%,2629350572553575,156.051,74.94%,1684934922652947,60527689.570,50.12%,2179925338695516,78309.163,51.65%,50734520571,0.00,64.31%,70658837259,2538.268,76.12%,66449,0.002,27819.469922,999.355,6343,0.228,0,0.000,41,0.001,518476,0.019,518588,0.019,27837.423411,1.415,19.670412027
9994410346,348.823,74.76%,354650316,3.55%,74.74%,699667534,24.420,75.34%,3699323108231056,631535362.704,76.09%,585766582,20.444,51.89%,2989260594494046,104330.631,51.79%,50960386447,0.00,64.25%,72553752983,2532.258,75.66%,68161,0.002,28634.227124,999.387,6039,0.211,0,0.000,41,0.001,575159,0.020,575271,0.020,28651.802146,1.670,17.160766556
9980682797,343.600,75.02%,355698494,3.56%,75.05%,707249934,24.348,75.53%,4086511137374955,1496.600,75.77%,273053011126152,9400261.361,51.54%,1633702965136716,56242.686,51.69%,50957591387,0.00,64.05%,73900477548,2544.135,75.72%,68011,0.002,29028.839963,999.362,6557,0.226,0,0.000,41,0.001,537511,0.019,537648,0.019,29047.385030,1.585,18.323444744
10081633159,340.617,75.03%,356261139,3.53%,74.99%,722349511,24.405,75.34%,2796274158165385,469496843.822,75.50%,595589554,20.123,51.65%,4321952830621598,146021.199,52.10%,51228181453,0.00,64.17%,75107658809,2537.582,75.72%,69053,0.002,29579.502698,999.371,7038,0.238,0,0.000,40,0.001,514553,0.017,514695,0.017,29598.119087,1.362,21.729916650
10895909231,318.486,75.22%,372193301,3.42%,75.46%,836520211,24.451,75.58%,2598660770074281,940.714,75.82%,276243441480592,8074551.998,50.95%,4686508024736098,136985.887,51.05%,55173673927,0.00,63.21%,87170020497,2547.966,75.22%,70359,0.002,34193.083002,999.458,6797,0.199,0,0.000,41,0.001,562247,0.016,562396,0.016,34211.612180,1.681,20.356588512
9409001333,374.037,76.03%,340978031,3.62%,76.08%,612611913,24.353,76.08%,3348644076216449,238.812,75.65%,1402210135564750,55742134.693,50.18%,2480439468694672,98605.043,51.07%,48656409673,0.00,64.11%,63577804179,2527.412,75.99%,64309,0.003,25138.149815,999.318,5853,0.233,0,0.000,40,0.002,465506,0.019,465593,0.019,25155.300264,1.283,19.610596380
