workload_conf,memory(kb),bytesread,byteswrite,cputime,branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(msec),CPUs,duration(s)
sort92,3907472,54751551,48545021,3862686730,14288346087,390.019,75.59%,485780814,3.40%,75.37%,898941897,24.538,75.28%,2993638568751376,1076.007,75.22%,278217346353242,7594312.271,50.59%,1638498308044934,44724.989,51.54%,74281126590,0.00,64.30%,92938560660,2536.882,76.06%,86767,0.002,36614.059379,999.429,6159,0.168,0,0.000,149,0.004,427555,0.012,427874,0.012,36634.962643,3.192,11.475590723
sort93,4185716,54751551,48545021,4511350401,14368685400,402.174,75.92%,484285603,3.37%,76.02%,874878269,24.488,75.74%,2986228826327414,532.665,75.41%,560620750748928,15691577.903,50.21%,1665013146514303,46603.133,50.72%,75640591457,0.00,63.53%,90785771311,2541.062,75.48%,88122,0.002,35706.586932,999.415,6543,0.183,0,0.000,148,0.004,501626,0.014,501926,0.014,35727.493705,3.045,11.732805101
sort94,4073784,54751551,48545021,4712325713,14634707640,394.454,75.15%,495606108,3.39%,74.95%,905867798,24.416,75.43%,1858583613112109,677.002,75.72%,274531677860290,7399539.068,51.26%,3304699043354947,89072.598,51.11%,76799566930,0.00,63.62%,94602229139,2549.844,75.88%,86443,0.002,37080.712543,999.448,5953,0.160,0,0.000,148,0.004,483433,0.013,483720,0.013,37101.186351,3.207,11.569664222
sort95,4127732,54751551,48545021,4781004051,14812585968,397.107,75.74%,493906559,3.33%,75.77%,912873818,24.473,75.87%,1300667794175193,116.107,75.74%,1120227932202847,30031916.788,50.25%,3354533418256494,89930.866,50.35%,78054174487,0.00,63.43%,94547275407,2534.695,75.70%,85730,0.002,37280.830790,999.453,5568,0.149,0,0.000,148,0.004,489199,0.013,489495,0.013,37301.246541,3.261,11.438000036
sort96,4085892,54751551,48545021,4182409704,14497290514,390.558,75.70%,485410734,3.35%,75.62%,910102610,24.518,75.68%,558196415895620,49.578,75.64%,1125906351878711,30332029.488,50.00%,4458271055903280,120106.267,50.51%,76638565775,0.00,63.40%,94230605010,2538.582,75.52%,86376,0.002,37098.942584,999.449,6350,0.171,0,0.000,148,0.004,521238,0.014,521541,0.014,37119.387357,3.167,11.720213738
sort97,4161100,54751551,48545021,4517622853,14777650602,405.471,75.55%,502360275,3.40%,75.74%,890948749,24.446,75.75%,745864572662251,266.899,75.48%,279455433300352,7667726.559,50.36%,5268667993585514,144562.247,50.75%,78150581969,0.00,63.63%,92745506126,2544.761,75.85%,85539,0.002,36425.005706,999.433,6182,0.170,0,0.000,147,0.004,486830,0.013,487160,0.013,36445.670195,3.163,11.524270173
sort98,4246868,54751551,48545021,4192999938,14371005272,395.088,76.25%,488383429,3.40%,75.61%,892683729,24.542,74.76%,2622216679296042,267539252.154,75.14%,980124097,26.946,50.53%,2193130775892031,60293.629,51.34%,75976299909,0.00,64.29%,92421879484,2540.866,76.34%,85439,0.002,36353.387966,999.429,6510,0.179,0,0.000,148,0.004,485936,0.013,486261,0.013,36374.170984,3.101,11.730125796
sort99,4194484,54751551,48545021,3885719341,14318201784,405.098,75.54%,482522715,3.37%,75.73%,864815338,24.468,75.83%,2406854170669365,432.364,76.02%,556673043443888,15749695.676,50.56%,1958154992031548,55401.183,50.31%,75784922987,0.00,62.72%,89728665474,2538.652,75.04%,85594,0.002,35324.910426,999.432,6455,0.183,0,0.000,148,0.004,484308,0.014,484583,0.014,35345.003161,3.122,11.320536899
sort100,4126416,54751551,48545021,4401583917,14620199738,386.344,75.83%,498042030,3.41%,75.59%,926734388,24.489,75.50%,2813309487143019,502.621,75.04%,559727989261613,14791018.083,50.29%,1927237587092191,50927.962,51.12%,77161751829,0.00,63.81%,96328954167,2545.528,75.89%,86692,0.002,37821.096140,999.436,6657,0.176,0,0.000,148,0.004,496333,0.013,496618,0.013,37842.424783,3.159,11.979225925
sort101,4199196,54751551,48545021,4266448525,14804857271,403.703,75.97%,501199731,3.39%,76.20%,898560608,24.502,75.77%,2235897286414978,396.686,75.53%,563643453632774,15369585.451,49.94%,2804352857325845,76469.869,50.19%,78880503328,0.00,63.33%,93092445573,2538.471,75.60%,86377,0.002,36651.689511,999.428,6597,0.180,0,0.000,149,0.004,490763,0.013,491081,0.013,36672.651674,3.114,11.775013930
