workload_conf,memory(kb),bytesread,byteswrite,cputime,branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(M/sec),CPUs,duration(s)
svm504,7422032,48580835268,0,23577182635,22754764938,254.783,75.15%,695060277,3.05%,74.78%,2196587096,24.595,75.00%,1495752696240512,62473182.080,75.27%,2394231647,26.808,50.65%,4151712655478223,46486.351,50.85%,172758465753,0.00,63.26%,228560308921,2559.169,75.36%,141267,0.002,89271.121744,999.561,17029,0.191,0,0.000,148,0.002,2458029,0.028,2458347,0.028,89310.357765,2.982,29.952916770
svm505,5851964,48580835268,0,24263607399,22354335373,276.825,75.00%,692796333,3.10%,75.15%,1983103616,24.558,75.44%,1677296106912219,71609504.968,75.52%,2342281388,29.006,50.54%,4471896417379972,55377.798,50.36%,171077482183,0.00,62.97%,206393341093,2555.875,75.09%,136706,0.002,80714.482858,999.529,15685,0.194,0,0.000,149,0.002,1856260,0.023,1856584,0.023,80752.513603,3.635,22.213714084
svm506,5838676,48580835268,0,24056227931,22547472119,285.336,75.22%,695107859,3.08%,75.46%,1941588877,24.571,75.47%,2424212627440687,865.578,75.47%,280068715913162,3544244.622,50.25%,2527142878985979,31980.768,50.12%,171837880271,0.00,62.65%,201942780374,2555.568,74.90%,139239,0.002,78982.730047,999.519,16493,0.209,0,0.000,148,0.002,1852766,0.023,1853052,0.023,79020.707023,3.613,21.870410441
svm507,4965472,48580835268,0,23297367400,23158225358,238.806,75.02%,709117869,3.06%,75.38%,2388906930,24.634,75.51%,1865574534912925,77247893.844,75.44%,2415049061,24.904,50.21%,3659206726197988,37733.455,50.00%,172476621251,0.00,62.59%,247906259330,2556.390,74.94%,150044,0.002,96934.748086,999.584,15533,0.160,0,0.000,148,0.002,985991,0.010,986325,0.010,96975.129917,3.948,24.563733155
svm508,4761812,48580835268,0,23436568139,30180367580,174.245,75.15%,829297496,2.75%,75.14%,4281102625,24.717,75.20%,1496586520556897,532.274,75.23%,281168433880803,1623312.410,50.06%,3927756773152536,22676.715,50.17%,205473616771,0.00,62.69%,445075580017,2569.622,75.16%,173581,0.001,173158.218984,999.721,15817,0.091,0,0.000,147,0.001,1269767,0.007,1270103,0.007,173206.606485,5.658,30.613733042
svm509,5442344,48580835268,0,23615779317,23097086810,246.960,75.13%,702181136,3.04%,75.31%,2303485397,24.629,75.13%,2241864359816425,401.600,75.33%,558233493025209,5968781.555,50.42%,2802535935559958,29965.462,50.22%,173529028634,0.00,62.64%,239462836486,2560.401,75.01%,143454,0.002,93484.620895,999.563,17949,0.192,0,0.000,148,0.002,1664356,0.018,1664703,0.018,93525.535802,3.492,26.779237858
svm510,5576456,48580835268,0,23639780810,22493126330,282.559,75.54%,700647991,3.11%,75.52%,1954395248,24.551,75.47%,1681347762485193,71080276.598,75.33%,2365420962,29.714,49.90%,4211117025477045,52900.154,50.13%,170907727934,0.00,63.10%,203228899513,2552.966,75.36%,139355,0.002,79566.049730,999.511,17069,0.214,0,0.000,148,0.002,1602540,0.020,1602878,0.020,79605.005769,3.592,22.163327774
svm511,6053044,48580835268,0,24682716412,22959013830,293.549,75.34%,699381747,3.05%,75.42%,1920522215,24.555,75.36%,2433004736772871,868.684,75.20%,280079230038634,3581035.293,50.25%,2508616761725018,32074.657,50.49%,173670023705,0.00,62.89%,200013862285,2557.336,75.23%,136421,0.002,78174.303377,999.521,16090,0.206,0,0.000,148,0.002,2006486,0.026,2006765,0.026,78211.803888,3.629,21.553858074
svm512,5958256,48580835268,0,24469798288,22767970446,269.140,75.33%,705590317,3.10%,75.62%,2081353264,24.604,75.59%,1120760243895468,56.681,75.34%,1977303281619628,23373685.801,49.82%,2817681730392368,33307.793,49.95%,173442632113,0.00,62.67%,216212207773,2555.843,75.02%,140015,0.002,84555.867734,999.534,16606,0.196,0,0.000,148,0.002,1949803,0.023,1950129,0.023,84595.270871,3.579,23.639078086
svm513,6104800,48580835268,0,24224805679,23067148292,225.663,75.25%,692522563,3.00%,75.08%,2518005681,24.633,75.07%,3182349652776387,133253900.268,75.18%,2388184996,23.363,50.34%,1946138406875335,19038.830,50.63%,172080681339,0.00,63.08%,261654592005,2559.734,75.34%,146686,0.001,102178.886908,999.603,18383,0.180,0,0.000,148,0.001,2072902,0.020,2073217,0.020,102219.433321,3.275,31.210882955
svm514,7313156,48580835268,0,24140289251,23388481138,243.957,75.32%,691601816,2.96%,75.19%,2358615346,24.602,75.09%,1681785702278452,301.278,75.32%,558217397845454,5822568.842,50.42%,3346702860803313,34908.277,50.47%,174814623176,0.00,63.04%,245445276018,2560.153,75.26%,142051,0.001,95831.578080,999.585,18235,0.190,0,0.000,148,0.002,3198909,0.033,3199243,0.033,95871.326381,3.053,31.405604721
svm515,7546996,48580835268,0,24189754283,23036106343,259.514,75.43%,699095473,3.03%,75.27%,2183062398,24.593,75.01%,1120931913717277,200.594,75.33%,558805746343507,6295233.831,50.37%,4191157546904338,47215.543,50.37%,174869417616,0.00,62.86%,227197847316,2559.500,75.10%,140198,0.002,88727.193297,999.557,17204,0.194,0,0.000,148,0.002,2793963,0.031,2794276,0.031,88766.479744,3.223,27.542012463
svm516,5287024,48580835268,0,23320497959,23328321083,211.962,75.28%,694551917,2.98%,75.25%,2711386368,24.636,75.34%,2621799791580490,109011882.011,75.15%,2405058736,21.852,50.12%,2794989251353439,25395.389,50.36%,172283700803,0.00,62.97%,282182872597,2563.925,75.30%,150555,0.001,110016.925652,999.618,18506,0.168,0,0.000,147,0.001,1505516,0.014,1505818,0.014,110058.926503,3.736,29.458615441
svm517,7003056,48580835268,0,22954730815,22556995220,278.599,75.41%,696643420,3.09%,75.19%,1990211728,24.581,75.08%,2433976984036575,435.202,75.17%,559275639231611,6907547.253,50.33%,1944983376445779,24022.260,50.66%,171359493950,0.00,63.08%,206802629035,2554.195,75.43%,137286,0.002,80925.402648,999.500,15307,0.189,0,0.000,148,0.002,1682236,0.021,1682585,0.021,80965.879600,3.521,22.993845439
svm518,5821940,48580835268,0,24097270586,23091249972,274.735,75.11%,703526682,3.05%,75.05%,2065680629,24.577,75.17%,748523186743279,134.609,75.21%,556073745530826,6616041.829,50.62%,4991053256181630,59382.442,50.76%,173822884212,0.00,63.13%,214740638073,2554.936,75.31%,140906,0.002,84010.449090,999.538,16949,0.202,0,0.000,147,0.002,1561775,0.019,1562124,0.019,84049.309225,3.566,23.570706764
svm519,7236852,48580835268,0,24610293462,23313146399,263.625,75.13%,702840176,3.01%,75.10%,2173850537,24.582,75.22%,1873408500784835,77266685.176,75.12%,2424600585,27.417,50.44%,3610152888999009,40823.548,50.68%,175660713966,0.00,62.96%,226138420571,2557.169,75.28%,140243,0.002,88392.574091,999.542,18538,0.210,0,0.000,148,0.002,3499440,0.040,3499754,0.040,88433.100138,3.130,28.252365233
svm520,6092432,48580835268,0,23585097632,22184248370,275.635,75.04%,687853536,3.10%,75.06%,1978581895,24.583,75.14%,1494201182653657,63690132.164,75.35%,2346048174,29.149,50.72%,3885755242586266,48279.694,50.71%,169578368374,0.00,63.15%,205751023285,2556.413,75.26%,139228,0.002,80446.138943,999.526,16800,0.209,0,0.000,148,0.002,1604366,0.020,1604693,0.020,80484.255020,3.520,22.864161345
svm521,5739644,48580835268,0,24076072924,23485688488,232.911,75.20%,697740514,2.97%,75.09%,2483679222,24.631,75.04%,2619341319907969,469.215,75.22%,558239439819103,5536134.348,50.42%,2782439115031648,27593.817,50.58%,173502362354,0.00,63.10%,257948521410,2558.110,75.29%,147086,0.001,100794.897524,999.596,18138,0.180,0,0.000,148,0.001,2486317,0.025,2486622,0.025,100835.602015,3.379,29.844711970
svm522,5291880,48580835268,0,23845935652,23280062322,249.968,75.26%,702616461,3.02%,75.41%,2291636504,24.606,75.38%,1871045925054672,78493733.330,75.22%,2383688284,25.595,50.22%,3921554467921754,42107.455,50.25%,173990192389,0.00,62.80%,238377094325,2559.560,75.19%,143062,0.002,93092.126273,999.571,16597,0.178,0,0.000,148,0.002,1525439,0.016,1525740,0.016,93132.070648,3.805,24.476258369
svm523,6024916,48580835268,0,23917347492,22587840196,253.021,75.57%,691393011,3.06%,75.27%,2196666135,24.606,75.17%,1126700194647830,400.549,74.95%,281288921007104,3150901.879,50.03%,4435902164987237,49689.452,50.77%,171663381612,0.00,63.47%,228088392272,2554.968,75.69%,141996,0.002,89232.652299,999.554,17618,0.197,0,0.000,148,0.002,2541795,0.028,2542092,0.028,89272.510477,3.342,26.713721764
svm524,8321884,48580835268,0,24177479976,23151999394,267.348,75.17%,698572490,3.02%,75.27%,2129967756,24.596,75.35%,2057471836568380,87094047.540,75.24%,2362356435,27.279,50.31%,3344923317885665,38625.612,50.49%,174341887310,0.00,63.10%,221515306128,2557.955,75.24%,139190,0.002,86557.973115,999.531,17085,0.197,0,0.000,148,0.002,2870426,0.033,2870749,0.033,86598.584870,3.133,27.643990762
svm525,5365104,48580835268,0,23763647666,22781136280,245.026,75.48%,694282396,3.05%,75.35%,2289502207,24.625,75.03%,2063299295022211,85827952.809,75.03%,2403994535,25.857,50.20%,3616832074506236,38901.414,50.59%,170860524219,0.00,63.08%,238012184251,2559.978,75.36%,146102,0.002,92933.570639,999.562,16969,0.183,0,0.000,149,0.002,1390801,0.015,1391115,0.015,92974.309538,3.694,25.168550256
svm526,7048988,48580835268,0,24757679868,24622051103,250.945,75.11%,724256047,2.94%,75.40%,2414699569,24.610,75.43%,1869510706810401,333.118,75.28%,561215109797256,5719832.410,50.15%,3638700297382430,37085.167,50.28%,180977908394,0.00,62.77%,251212853674,2560.329,75.13%,145147,0.001,98076.576119,999.584,19338,0.197,0,0.000,149,0.002,4853857,0.049,4854172,0.049,98117.404419,2.938,33.401011640
svm527,6597180,48580835268,0,24446697800,22421524724,255.225,75.16%,683584513,3.05%,75.47%,2161830528,24.608,75.29%,1495714274746809,267.354,75.28%,559451612518092,6368249.078,50.31%,3358740629794386,38232.613,50.28%,171005286821,0.00,62.86%,224618777097,2556.840,75.18%,141140,0.002,87810.575956,999.550,16628,0.189,0,0.000,148,0.002,1825017,0.021,1825326,0.021,87850.146199,3.297,26.642525765
svm528,5737432,48580835268,0,23704807032,22745184707,267.130,74.98%,693477083,3.05%,74.98%,2095475689,24.610,75.16%,2430424673059143,875.168,75.28%,277709481512081,3261550.575,50.68%,2497798251040351,29335.316,50.71%,172021922710,0.00,63.09%,217721332310,2557.022,75.27%,141594,0.002,85107.514777,999.543,15202,0.179,0,0.000,148,0.002,1567646,0.018,1567948,0.018,85146.458766,3.567,23.868081046
svm529,6031048,48580835268,0,23995429821,23318923030,250.819,75.48%,702430214,3.01%,75.19%,2289402467,24.625,74.95%,1685209015087878,602.527,75.16%,279690255919478,3008358.324,50.32%,4177281182828791,44930.985,50.54%,174353084974,0.00,63.11%,237964729919,2559.557,75.32%,142773,0.002,92931.573732,999.575,17160,0.185,0,0.000,148,0.002,3160801,0.034,3161135,0.034,92971.057907,3.285,28.298375297
svm530,5766340,48580835268,0,23810197820,23378313306,245.670,74.87%,698536777,2.99%,75.22%,2340650146,24.597,75.45%,1492051601469307,535.485,75.46%,278635353189551,2928030.117,50.51%,4195664346140552,44089.996,50.32%,174910355447,0.00,62.74%,243650270408,2560.391,75.00%,144789,0.002,95120.397046,999.569,19138,0.201,0,0.000,148,0.002,2827576,0.030,2827864,0.030,95161.368597,3.237,29.399945826
svm531,5709548,48580835268,0,23715266905,22664610857,246.441,75.21%,686798917,3.03%,75.42%,2261942282,24.595,75.56%,560105156924652,199.001,75.38%,281458768623874,3060408.708,50.00%,5335522907739810,58015.179,50.12%,171509754792,0.00,62.85%,235263911419,2558.114,75.32%,142208,0.002,91929.176457,999.581,16018,0.174,0,0.000,148,0.002,1946656,0.021,1946967,0.021,91967.706114,3.557,25.852002497
svm532,4963732,48580835268,0,22640981647,22845764596,222.557,75.40%,688636487,3.01%,75.25%,2527003756,24.617,75.26%,1497252499301329,533.389,75.20%,280705688696448,2734560.545,50.14%,3628860294420865,35351.397,50.42%,169490457330,0.00,63.14%,262990738648,2561.986,75.44%,150948,0.001,102610.726307,999.607,15017,0.146,0,0.000,150,0.001,1050106,0.010,1050497,0.010,102651.114903,4.029,25.476705450
svm533,5829292,48580835268,0,23931454314,26676166204,200.755,75.49%,741647843,2.78%,75.23%,3278868512,24.676,74.95%,2068804196919428,245.766,74.83%,841777728596915,6334918.538,50.16%,2222870141302652,16728.527,50.66%,187656994146,0.00,63.25%,341068225958,2566.758,75.60%,158501,0.001,132836.153902,999.677,19202,0.145,0,0.000,147,0.001,3533658,0.027,3534006,0.027,132879.013914,4.049,32.818269849
svm534,4964984,48580835268,0,23265738235,22820784963,267.620,75.50%,698949635,3.06%,75.17%,2097465060,24.597,75.26%,937495305317488,83.295,75.06%,1125518192375973,13198968.638,50.02%,3878516057209418,45483.416,50.80%,170425878167,0.00,63.34%,218000967740,2556.501,75.62%,140141,0.002,85235.539033,999.558,14959,0.175,0,0.000,148,0.002,904608,0.011,904969,0.011,85273.192414,4.048,21.066068550
svm535,7252096,48580835268,0,24148061132,23527217627,256.110,75.12%,710063680,3.02%,75.16%,2261445531,24.617,75.41%,1121584392812377,399.674,75.29%,280624682552097,3054793.837,50.15%,4463380061811342,48586.980,50.45%,176478988152,0.00,63.12%,234471202144,2552.381,75.26%,142855,0.002,91822.717145,999.554,18269,0.199,0,0.000,148,0.002,3505463,0.038,3505772,0.038,91863.705872,3.101,29.620541992
svm536,5710536,48580835268,0,23747389630,22753187419,283.690,75.18%,701656473,3.08%,75.44%,1972398497,24.592,75.44%,1679626627827892,600.719,75.41%,279602802252871,3486122.453,50.34%,3652732464914248,45542.722,50.09%,173050579494,0.00,62.72%,204983992822,2555.766,74.99%,138805,0.002,80167.956220,999.544,14641,0.183,0,0.000,148,0.002,1145782,0.014,1146091,0.014,80204.526957,3.705,21.645036750
svm537,5574612,48580835268,0,23380430474,22400920872,266.329,75.10%,695996765,3.11%,75.20%,2068395958,24.592,75.30%,2237819420064363,801.659,75.47%,279148477047314,3318848.088,50.42%,3346753409557382,39790.173,50.46%,169856894416,0.00,62.94%,214718713861,2552.831,75.26%,140288,0.002,84071.045194,999.536,16485,0.196,0,0.000,148,0.002,1362255,0.016,1362579,0.016,84110.049520,3.671,22.914404570
svm538,6382048,48580835268,0,23729119542,22291772919,241.071,75.30%,681710081,3.06%,75.09%,2275603336,24.609,74.98%,2808176383065216,504.429,75.18%,556704184262007,6020388.262,50.56%,1940368608422685,20983.806,50.78%,169065440438,0.00,63.34%,236699134243,2559.745,75.47%,141944,0.002,92430.191603,999.572,17333,0.187,0,0.000,148,0.002,2444563,0.026,2444873,0.026,92469.814248,3.216,28.749506657
svm539,6638880,48580835268,0,24250493293,23856395025,279.123,75.16%,712887677,2.99%,75.15%,2100286068,24.574,75.08%,2054311927029241,84651553.841,75.36%,2426785846,28.394,50.54%,3618724986300363,42339.503,50.56%,177489412352,0.00,62.84%,218828479858,2560.319,75.18%,139840,0.002,85430.668974,999.549,16951,0.198,0,0.000,148,0.002,2718222,0.032,2718554,0.032,85469.236022,3.410,25.065557707
svm540,7561176,48580835268,0,23586713816,22480098227,246.702,75.27%,690928879,3.07%,75.19%,2239343859,24.575,75.26%,1679579181147271,71783560.427,75.41%,2339782495,25.677,50.29%,3913308610400142,42945.642,50.35%,170726607779,0.00,63.07%,233148221208,2558.628,75.33%,140894,0.002,91082.220014,999.559,17477,0.192,0,0.000,149,0.002,2275828,0.025,2276130,0.025,91122.369136,3.076,29.626953459
svm541,5830280,48580835268,0,24215822207,23223418038,233.081,75.27%,700268909,3.02%,75.22%,2452449037,24.614,75.36%,2245406288096401,93767938.942,75.21%,2394641829,24.034,50.06%,3348447759100024,33606.609,50.44%,173211943318,0.00,62.99%,255147693261,2560.783,75.39%,146861,0.001,99595.702704,999.590,18274,0.183,0,0.000,148,0.001,2871831,0.029,2872182,0.029,99636.583967,3.253,30.628972898
svm542,4756024,54836255374,0,54635436719,41980156214,145.786,74.99%,871744080,2.08%,74.86%,7126727534,24.749,74.94%,1872606406516248,40062865.745,75.16%,4674169887,16.232,50.36%,3637330898841226,12631.500,50.31%,411208930766,0.00,62.73%,741217715370,2574.056,75.09%,217369,0.755,287894.395783,999.782,27974,0.097,0,0.000,150,0.001,3017038,0.010,3017465,0.010,287957.152700,4.296,67.032090985
svm543,5801276,48580835268,0,23864073602,22665667437,288.634,75.13%,703205427,3.10%,75.11%,1930495701,24.584,75.31%,1677097850590731,70329252.514,75.53%,2384637673,30.367,50.43%,3910021517492132,49791.795,50.39%,172860060254,0.00,62.75%,200650264622,2555.162,75.14%,137787,0.002,78488.326507,999.502,16807,0.214,0,0.000,148,0.002,1512507,0.019,1512851,0.019,78527.426558,3.509,22.380551544
svm544,6047408,48580835268,0,24484738278,22873854434,293.895,75.51%,694013996,3.03%,75.14%,1915693518,24.614,74.69%,3007034448950350,1079.144,74.88%,278650073637338,3580236.657,50.51%,1377210223268120,17695.091,51.10%,170381626185,0.00,63.57%,198608806373,2551.826,75.57%,136333,0.002,77792.966267,999.523,15010,0.193,0,0.000,147,0.002,1514335,0.019,1514645,0.019,77830.071113,3.737,20.826118320
svm545,5289812,48580835268,0,23673901370,22903352878,260.107,75.33%,699101263,3.05%,75.40%,2168043038,24.622,75.37%,1494167359784649,63042521.440,75.35%,2370094542,26.917,50.09%,4484159983490955,50925.364,50.22%,172100484905,0.00,62.94%,225316721931,2558.860,75.34%,141677,0.002,88014.716323,999.559,16304,0.185,0,0.000,149,0.002,1094201,0.012,1094527,0.012,88053.567222,4.051,21.738541784
svm546,5300888,48580835268,0,23873693483,23071517400,227.964,74.89%,696637696,3.02%,74.86%,2488193947,24.585,75.20%,1492559944774580,538.299,75.43%,277273160791196,2739663.382,50.76%,4172605985358183,41228.425,50.60%,171558794543,0.00,62.98%,259302230009,2562.097,75.23%,147925,0.001,101166.567310,999.600,17646,0.174,0,0.000,148,0.001,1881405,0.019,1881721,0.019,101207.017851,3.711,27.268849048
svm547,5666232,48580835268,0,23746540174,23911305662,226.878,75.19%,700767205,2.93%,75.22%,2595514980,24.627,75.25%,1309745253631820,54311012.778,75.22%,2411564776,22.882,50.26%,4748673286281080,45057.006,50.39%,175650218987,0.00,62.92%,270215604584,2563.896,75.20%,144837,0.001,105352.963482,999.624,17503,0.166,0,0.000,149,0.001,2320010,0.022,2320367,0.022,105392.561985,3.880,27.165599993
svm548,5975280,48580835268,0,23359666408,23281248625,256.138,75.40%,707815917,3.04%,75.51%,2239179033,24.635,75.21%,1875298464187149,78387100.261,75.05%,2392355959,26.320,50.11%,4188507440080256,46081.596,50.40%,173995196912,0.00,63.03%,232182518972,2554.452,75.35%,142204,0.002,90852.443829,999.551,17109,0.188,0,0.000,149,0.002,1960857,0.022,1961180,0.022,90893.281312,3.592,25.302251775
svm549,7297468,48580835268,0,24075463765,22998252680,262.977,74.96%,700227152,3.04%,75.21%,2151249230,24.599,75.38%,2602622622378907,107898527.166,75.71%,2412102084,27.582,50.48%,2532266764161157,28955.629,50.02%,174259561282,0.00,62.69%,223602272413,2556.818,74.94%,140514,0.002,87413.951573,999.549,18166,0.208,0,0.000,147,0.002,3553454,0.041,3553796,0.041,87453.349447,3.130,27.943140734
svm550,5679112,48580835268,0,23988138010,23317793250,232.692,75.17%,688482437,2.95%,75.50%,2469362460,24.642,75.59%,1494456512873728,88.371,75.34%,1691111117600901,16875853.085,49.93%,3096650696983587,30901.945,50.00%,173866514978,0.00,62.55%,256654802224,2561.197,75.00%,146814,0.001,100167.851216,999.590,18372,0.183,0,0.000,148,0.001,2381698,0.024,2382040,0.024,100208.926275,3.400,29.472806327
svm551,7505488,48580835268,0,23650853909,24404459841,279.276,75.16%,721283213,2.96%,75.31%,2150192254,24.606,75.28%,2805016325214333,115798707.462,75.26%,2422320928,27.720,50.31%,2228864622942633,25506.364,50.52%,179795563963,0.00,63.06%,223141623873,2553.556,75.21%,138790,0.002,87345.226071,999.549,17051,0.195,0,0.000,147,0.002,2415249,0.028,2415599,0.028,87384.645679,3.226,27.090039736
svm552,6771404,48580835268,0,24174382559,23516503937,244.797,75.34%,697023297,2.96%,75.27%,2363670324,24.605,75.18%,2058703213472349,86803125.890,75.20%,2371692485,24.688,50.15%,3908614195054092,40687.072,50.41%,174138622908,0.00,62.90%,246092079187,2561.718,75.34%,145184,0.002,96024.214626,999.573,18220,0.190,0,0.000,148,0.002,2531297,0.026,2531646,0.026,96065.261382,3.362,28.577853634
svm553,5322676,48580835268,0,23176467523,23658797932,272.435,74.97%,710609924,3.00%,75.24%,2134732161,24.582,75.42%,1673900433544895,70680736.249,75.67%,2368255514,27.271,50.42%,3930854022297024,45264.363,50.13%,176371501677,0.00,62.59%,222231017188,2559.023,74.82%,140588,0.002,86805.665182,999.580,16153,0.186,0,0.000,148,0.002,1165491,0.013,1165829,0.013,86842.136974,4.026,21.567789699
svm554,5032972,48580835268,0,23349920528,23039854155,262.790,75.22%,704473386,3.06%,75.24%,2158300643,24.617,75.28%,1493434700979297,266.693,75.39%,559982363124847,6387090.101,50.27%,3360085193645059,38324.719,50.26%,173300422317,0.00,62.84%,223994450278,2554.853,75.15%,139917,0.002,87637.093143,999.578,16140,0.184,0,0.000,148,0.002,854837,0.010,855147,0.010,87674.097954,4.271,20.527579022
svm555,6254156,48580835268,0,24451777995,23424977868,241.398,75.52%,697305466,2.98%,75.54%,2389566210,24.625,75.37%,1495602717803288,176.461,75.28%,847555223648569,8734185.285,49.82%,2809771587655649,28955.123,50.09%,173526915416,0.00,62.80%,248150781986,2557.231,75.25%,143478,0.001,96999.634894,999.596,17427,0.180,0,0.000,149,0.002,2404464,0.025,2404806,0.025,97038.841742,3.645,26.624349510
svm556,5848076,48580835268,0,23550479632,22796640262,275.851,75.09%,704659336,3.09%,74.92%,2030439395,24.569,74.96%,1865744473004365,78216930.498,75.43%,2385346064,28.864,50.86%,3609154869425133,43672.542,50.70%,172662262266,0.00,63.18%,211301442202,2556.851,75.33%,139105,0.002,82602.179477,999.527,16816,0.203,0,0.000,148,0.002,1456057,0.018,1456389,0.018,82641.283108,3.601,22.950488749
svm557,7635332,48580835268,0,24460353971,22114079299,264.914,75.53%,686810216,3.11%,75.47%,2053723651,24.602,75.08%,2256490041238646,403.152,74.84%,559711341720363,6705022.244,50.29%,2778295983421439,33282.399,50.66%,168842296062,0.00,63.37%,213193490477,2553.936,75.50%,143896,0.002,83436.528701,999.522,17562,0.210,0,0.000,149,0.002,2784379,0.033,2784727,0.033,83476.433244,3.181,26.245559140
svm558,4940404,48580835268,0,23529874319,23809606087,208.203,75.19%,698583828,2.93%,75.25%,2818925100,24.650,75.34%,2247448265702849,801.293,75.15%,280477774632777,2452635.183,50.18%,3074235326040931,26882.621,50.36%,173599277203,0.00,62.88%,293075579367,2562.797,75.14%,155439,0.001,114316.648659,999.641,17858,0.156,0,0.000,148,0.001,1305878,0.011,1306250,0.011,114357.722883,3.974,28.775653103
svm559,6564304,48580835268,0,23982782509,23504494260,260.744,75.23%,704223931,3.00%,75.34%,2217643412,24.601,75.41%,1308190229746319,155.356,75.31%,842060988282780,9341290.126,50.14%,3914054741893080,43420.039,50.34%,175429325317,0.00,62.97%,230595274307,2558.078,75.26%,141815,0.002,90105.387854,999.572,16869,0.187,0,0.000,148,0.002,2638906,0.029,2639191,0.029,90143.971216,3.322,27.137756930
svm560,6207312,48580835268,0,23268739623,23176317662,239.690,75.10%,698198601,3.01%,74.99%,2381672357,24.631,75.01%,2428571515988449,101967929.510,75.34%,2381701313,24.632,50.68%,3058020012208652,31626.171,50.63%,173638923568,0.00,63.06%,247502077025,2559.677,75.23%,144189,0.001,96652.845158,999.588,17389,0.180,0,0.000,149,0.002,1719551,0.018,1719899,0.018,96692.703537,3.429,28.195699754
svm561,5615112,48580835268,0,23982702673,22821775025,292.876,75.51%,697323804,3.06%,75.53%,1916497268,24.595,75.57%,1874123037931563,132.264,75.10%,1416953897909386,18184010.208,49.66%,2509679053128604,32207.138,50.47%,171798810029,0.00,63.20%,198980340248,2553.549,75.57%,140167,0.002,77885.387669,999.516,15124,0.194,0,0.000,149,0.002,1761535,0.023,1761858,0.023,77923.069868,3.654,21.324088312
svm562,4842004,59421049475,0,83890508389,59072668177,129.100,74.96%,999313046,1.69%,75.05%,11335847614,24.774,75.11%,2810636499810442,1000.173,75.11%,281015057101159,614143.768,50.08%,2251991206246616,4921.609,50.02%,640277494178,0.00,62.53%,1178718830829,2576.029,74.97%,246369,0.538,457498.975674,999.840,31593,0.069,0,0.000,148,0.000,4686920,0.010,4687714,0.010,457572.105639,6.281,72.849606482
svm563,4783160,48580835268,0,23247668580,28690499535,178.111,75.16%,817780828,2.85%,75.21%,3978967406,24.701,75.20%,2808421928265577,499.570,75.17%,562167760872861,3489939.122,50.07%,1965103049573777,12199.366,50.14%,200923568860,0.00,62.64%,413768300479,2568.675,75.05%,169861,0.001,161032.668043,999.691,17546,0.109,0,0.000,148,0.001,1042351,0.006,1042774,0.006,161082.397484,5.318,30.291862492
svm564,4999888,48580835268,0,23067224914,23372151071,230.442,75.41%,702375079,3.01%,75.10%,2499991893,24.649,74.95%,1870431209810286,334.166,75.24%,559731277128482,5518764.910,50.29%,3343275887271030,32963.592,50.52%,172337523703,0.00,63.13%,259784136799,2561.386,75.50%,150170,0.001,101381.567157,999.589,18504,0.182,0,0.000,148,0.001,1299893,0.013,1300213,0.013,101423.286958,4.025,25.196685457
svm565,7008796,48580835268,0,23550911182,23258605138,246.068,74.97%,706805966,3.04%,75.20%,2324899885,24.597,75.46%,2049929098559307,366.914,75.52%,558694746313827,5910790.366,50.38%,3082578093891050,32612.572,50.22%,175170079493,0.00,62.63%,241985316771,2560.118,74.96%,142870,0.002,94480.638815,999.571,18975,0.201,0,0.000,148,0.002,2287715,0.024,2288028,0.024,94521.157361,3.042,31.070543418
svm566,5355252,48580835268,0,23520373968,23443824528,225.368,75.31%,696328574,2.97%,75.17%,2563222538,24.640,75.27%,2611477275176242,929.692,75.45%,280897170225392,2700290.662,50.10%,2530277499928238,24323.793,50.06%,173605192305,0.00,62.78%,266308457739,2560.048,75.20%,148658,0.001,103983.043325,999.599,17426,0.168,0,0.000,148,0.001,2184297,0.021,2184614,0.021,104024.790441,3.848,27.035224203
svm567,7516936,48580835268,0,23964159055,23714114922,261.409,75.40%,707423201,2.98%,75.40%,2231721475,24.601,75.20%,2063057077535503,183.863,75.04%,1122060189341222,12368855.936,50.17%,2783436740471700,30682.782,50.57%,176261233234,0.00,63.11%,232124622740,2558.790,75.40%,140435,0.002,90676.677125,999.560,18603,0.205,0,0.000,148,0.002,3045907,0.034,3046219,0.034,90716.570325,3.147,28.822562479
svm568,4800296,60237701433,0,84896396838,45003035944,175.066,75.13%,864318481,1.92%,75.12%,6354716239,24.720,75.14%,2060083598141877,365.961,75.15%,562923762345584,2189821.992,50.00%,2809223812469025,10928.123,50.11%,586342487329,0.00,62.59%,660919862986,2571.035,75.12%,205564,0.800,257005.267973,999.773,26620,0.104,0,0.000,148,0.001,2797078,0.011,2797519,0.011,257063.708506,4.166,61.704045948
