workload_conf,memory(kb),bytesread,byteswrite,cputime,branches,branches(M/sec),branches(%),branch-misses,branch-misses(% of all),branch-misses(%),bus-cycles,bus-cycles(M/sec),bus-cycles(%),cache-misses,cache-misses(% of all),cache-misses(%),cache-references,cache-references(M/sec),cache-references(%),cpu-cycles,cpu-cyclesGHz,cpu-cycles(%),instructions,instructions(per cycle),instructions(%),ref-cycles,ref-cycles(M/sec),ref-cycles(%),context-switches,context-switches(K/sec),cpu-clock,cpu-clock(M/sec),cpu-migrations,cpu-migrations(K/sec),emulation-faults,emulation-faults(K/sec),major-faults,major-faults(K/sec),minor-faults,minor-faults(M/sec),page-faults,page-faults(M/sec),task-clock(M/sec),CPUs,duration(s)
svm81,4974072,48580835268,0,23966398586,24679571264,215.020,75.30%,710209118,2.88%,75.14%,2830494331,24.661,75.18%,3182017393852766,1132.709,75.19%,280920905207532,2447520.058,50.10%,1677848132090067,14618.232,50.33%,178400025993,0.00,62.91%,294156104218,2562.832,75.23%,154010,0.001,114734.177449,999.620,19421,0.169,0,0.000,148,0.001,1945008,0.017,1945378,0.017,114777.774476,3.911,29.343725587
svm82,7108528,48580835268,0,24002987089,23516597988,276.346,75.54%,711276921,3.02%,75.40%,2092690481,24.591,75.28%,2434571717021879,288.230,75.15%,844664292856556,9925755.050,49.99%,2232177038006376,26230.590,50.44%,175505854958,0.00,63.23%,217594855535,2556.984,75.68%,139437,0.002,85058.194644,999.529,17413,0.205,0,0.000,149,0.002,2690112,0.032,2690455,0.032,85098.240752,3.321,25.620828012
svm83,6910756,48580835268,0,23919363623,23061944398,221.961,75.39%,688684262,2.99%,75.32%,2561302311,24.651,75.21%,2435267143530052,288.632,75.13%,843728797434701,8120513.526,50.04%,1958339793386100,18848.147,50.31%,172849642745,0.00,62.96%,266062601257,2560.734,75.30%,147382,0.001,103858.866710,999.595,19779,0.190,0,0.000,148,0.001,2856823,0.027,2857153,0.027,103900.916452,3.343,31.079819810
svm84,8433692,48580835268,0,23743444748,22479786494,267.875,75.49%,692257491,3.08%,75.30%,2064290362,24.599,75.17%,2245143500983440,93421144.342,75.22%,2403249839,28.638,50.19%,3349695515032555,39915.861,50.42%,172761057768,0.00,63.07%,214438000293,2555.300,75.47%,138446,0.002,83878.147798,999.514,18681,0.223,0,0.000,148,0.002,2572594,0.031,2572937,0.031,83918.909368,3.068,27.350339915
svm85,4745880,54027609176,0,53438371330,34807805106,184.740,75.03%,808084484,2.32%,75.06%,4653637846,24.699,75.29%,1311479190163238,233.441,75.12%,561802496594911,2981735.543,50.10%,4204286941021716,22314.019,50.22%,383652200988,0.00,62.73%,483990526469,2568.753,75.12%,186388,0.989,188358.065533,999.700,28652,0.152,0,0.000,147,0.001,2526578,0.013,2526907,0.013,188414.595651,3.246,58.039720071
svm86,5505732,48580835268,0,24105859341,22060287984,259.758,75.46%,688270364,3.12%,75.24%,2091386244,24.626,75.06%,1312485086571291,468.913,75.06%,279899710538808,3295797.921,50.28%,3880430147078188,45691.771,50.78%,168199319048,0.00,63.27%,217351280984,2559.295,75.57%,140620,0.002,84887.102798,999.539,17376,0.205,0,0.000,148,0.002,1615581,0.019,1615941,0.019,84926.235547,3.759,22.595532363
svm87,6102016,48580835268,0,24156053543,22748176723,288.660,75.52%,703869484,3.09%,75.61%,1938471318,24.598,75.40%,2062362864692821,86093585.902,75.07%,2395489563,30.397,49.92%,3344658434565884,42441.599,50.50%,171258752709,0.00,63.22%,201324098208,2554.675,75.54%,136743,0.002,78768.778719,999.526,16224,0.206,0,0.000,148,0.002,1616056,0.021,1616390,0.021,78806.137061,3.858,20.427154255
svm88,6770168,48580835268,0,24275113283,23029064500,290.269,75.31%,695199295,3.02%,75.14%,1948904847,24.565,75.25%,2235860491108722,266.771,75.53%,838119397767684,10564051.033,50.38%,2230158271109386,28109.964,50.49%,173798474755,0.00,63.08%,202854169555,2556.869,75.37%,137034,0.002,79298.702216,999.518,16361,0.206,0,0.000,148,0.002,2140980,0.027,2141330,0.027,79336.931937,3.508,22.614237744
svm89,6205884,48580835268,0,23883756878,27209987536,340.546,75.23%,698374900,2.57%,75.20%,1963370590,24.573,75.36%,1863928334181655,665.962,75.51%,279884960337063,3502895.796,50.28%,3349141132622324,41916.123,50.43%,187490630982,0.00,63.02%,204133631537,2554.831,75.40%,139002,0.002,79862.971974,999.524,17104,0.214,0,0.000,148,0.002,1906227,0.024,1906560,0.024,79901.023782,3.474,22.998818549
svm90,5001792,48580835268,0,23474423694,23593858771,253.329,75.11%,713528019,3.02%,75.22%,2291695513,24.606,75.30%,3359070719939168,140554584.206,75.42%,2389869202,25.660,50.29%,1680741424279412,18046.234,50.25%,175365551813,0.00,62.86%,238425965490,2559.996,75.02%,144297,0.002,93096.599907,999.584,15719,0.169,0,0.000,148,0.002,1128816,0.012,1129135,0.012,93135.302197,4.183,22.262766143
